country,cause,DALYs,pct_of_total_DALYs,DALYs_per_100K
Brunei,Respiratory infections and tuberculosis,3356.286216,0.034787598,776.1083415
Brunei,Enteric infections,307.2902417,0.003168925,71.05786113
Brunei,Other infectious diseases,866.713587,0.008987027,200.419035
Panama,Digestive diseases,29029.81326,0.03298994,740.3518304
Nepal,Neoplasms,503412.5715,0.055934071,1684.131506
Sudan,Substance use disorders,233696.8412,0.016373462,580.5332132
Sudan,Diabetes and kidney diseases,339916.0551,0.023778316,844.395494
Uruguay,Respiratory infections and tuberculosis,26181.99798,0.025754255,765.2128276
Uruguay,Enteric infections,5437.175522,0.005333185,158.9105789
Uruguay,Other infectious diseases,3307.325272,0.003250893,96.66213119
Uruguay,Maternal and neonatal disorders,26380.53992,0.025975456,771.0155488
Uruguay,Substance use disorders,14314.49319,0.014043337,418.3650849
Uruguay,Diabetes and kidney diseases,54580.58608,0.053518665,1595.209221
Georgia,Neoplasms,197048.8086,0.137551282,5338.163896
Jamaica,Enteric infections,3905.041838,0.004996628,140.5063282
Jamaica,Other infectious diseases,5296.64147,0.006792872,190.5771246
Jamaica,Maternal and neonatal disorders,49349.15554,0.063344474,1775.619553
Iceland,Sense organ diseases,2103.657313,0.027734068,623.3602796
Nicaragua,Musculoskeletal disorders,77172.81396,0.059630334,1206.47183
Nicaragua,Other non-communicable diseases,86143.50389,0.066784115,1346.714023
Poland,Skin and subcutaneous diseases,200744.6621,0.015888385,522.8670448
Poland,Sense organ diseases,424642.6202,0.033591717,1106.040029
N. Mariana Is.,Skin and subcutaneous diseases,299.5001339,0.02449893,667.3628745
N. Mariana Is.,HIV/AIDS and sexually transmitted infections,39.04281027,0.00320943,86.99736376
N. Mariana Is.,Respiratory infections and tuberculosis,354.453559,0.029152454,789.813156
N. Mariana Is.,Enteric infections,146.2182783,0.011957079,325.811709
N. Mariana Is.,Other infectious diseases,89.3029488,0.007335548,198.9898029
N. Mariana Is.,Maternal and neonatal disorders,251.0487034,0.020663606,559.4006992
Nigeria,Cardiovascular diseases,3076050.028,0.026142482,1492.590943
Japan,Musculoskeletal disorders,4188786.028,0.118614613,3263.228213
Japan,Other non-communicable diseases,1285071.818,0.036448005,1001.121228
Zimbabwe,Mental disorders,177696.8504,0.025427366,1207.692111
Niger,Substance use disorders,44319.73249,0.003391238,207.3346033
Nigeria,Neoplasms,3171630.909,0.026934266,1538.969628
Ireland,Nutritional deficiencies,5267.700596,0.004716841,108.3765832
Jamaica,Substance use disorders,11320.33739,0.014494009,407.3142124
